,client38,client2,client34,client29,client22,client10,client47,client9,client45,client5,client37,client32,client12,client0,client1,client19,client8,client23,client16,client35,client3,client21,client4,client48,client33,client31,client11,client42,client13,client44,client18,client15,client14,client20,client49,client41,client25,client24,client46,client27,client39,client17,client7,client28,client40,client36,client43,client26,client6,client30
0,8,5,5,4,4,5,5,6,5,7,7,5,7,7,10,5,5,5,7,7,7,5,5,6,5,5,6,5,5,5,6,6,5,8,5,8,6,5,7,9,10,10,8,7,5,12,11,8,14,8
1,6,6,29,4,29,31,3,44,30,3,3,29,3,2,2,29,3,30,3,41,2,2,42,3,3,2,40,29,35,3,3,3,2,2,5,2,39,3,3,3,3,3,2,2,3,2,1,2,2,2
2,3,3,0,2,0,2,4,2,0,2,3,0,3,3,3,0,3,0,3,3,2,3,3,3,2,3,6,0,3,3,3,1,4,3,4,2,3,3,4,3,5,3,3,3,3,2,2,2,3,2
3,3,3,0,3,0,3,2,3,0,2,4,0,3,2,3,0,3,0,3,3,2,2,3,2,2,3,2,0,5,2,3,2,4,3,3,4,3,4,5,3,3,2,2,2,4,3,2,3,2,2
4,3,4,0,3,0,3,2,3,0,3,3,0,4,3,2,0,3,0,3,3,2,3,2,3,3,2,2,0,4,2,3,3,4,2,4,4,2,4,3,3,2,3,3,2,3,2,2,2,4,2
5,2,4,0,3,0,2,4,3,0,3,3,3,3,2,4,0,3,0,5,3,3,3,2,3,3,3,2,0,3,3,1,4,4,5,2,1,2,5,3,3,5,3,2,2,4,4,2,2,2,2
6,3,3,0,3,0,3,2,3,0,3,3,0,3,2,3,0,3,0,4,3,2,3,3,3,2,2,2,0,4,2,2,3,2,4,4,3,3,3,3,4,4,2,2,2,4,2,2,2,2,2
7,3,3,0,3,0,3,3,3,0,3,3,0,3,2,3,0,3,0,2,3,2,3,3,2,3,3,2,0,2,2,3,1,3,3,1,3,4,3,3,3,3,2,2,2,4,2,3,2,3,2
8,3,3,0,3,0,3,3,3,0,3,2,0,3,2,3,0,3,0,4,3,4,6,4,4,2,5,3,0,4,2,2,4,2,4,3,3,2,3,4,2,7,3,3,1,7,3,2,3,13,4
9,3,2,0,2,0,3,4,3,0,3,2,0,2,4,2,0,3,0,4,2,4,4,3,2,4,3,4,0,4,3,2,4,4,4,4,3,3,3,3,3,3,3,2,2,3,2,2,1,2,2
10,3,3,0,3,0,3,3,3,0,3,4,0,3,14,2,0,3,0,3,4,3,3,4,3,3,4,2,0,3,2,2,4,3,3,2,3,2,4,3,1,3,2,3,3,4,2,2,2,2,3
11,3,3,0,3,0,3,3,2,0,3,3,0,3,3,2,0,2,0,2,3,3,2,4,3,3,8,3,0,3,3,3,4,4,3,2,3,3,3,4,3,3,1,2,12,4,2,2,2,2,9
12,2,3,0,3,0,3,2,3,0,1,3,0,2,2,2,0,3,0,2,3,3,4,3,2,3,3,3,0,2,2,3,4,3,3,4,3,3,4,3,3,2,2,2,2,4,2,2,2,2,2
13,3,3,0,3,0,3,3,3,0,2,3,0,2,3,3,0,2,0,3,3,2,3,3,2,3,4,4,0,4,5,3,2,2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2
14,3,3,0,3,0,3,2,3,0,3,3,0,2,2,3,0,3,0,3,3,2,2,3,2,3,2,8,0,4,3,3,5,4,3,2,2,3,4,3,3,4,2,2,2,3,1,1,2,1,2
15,3,4,0,3,0,5,3,2,0,4,3,0,3,3,3,0,3,0,3,2,2,3,6,5,3,5,4,0,4,4,3,4,2,2,5,2,4,4,2,3,2,2,2,3,3,2,1,2,2,3
16,3,3,0,3,0,3,3,4,0,3,3,0,15,2,3,0,2,0,3,3,3,3,2,3,3,5,3,0,4,2,3,3,3,2,3,5,3,4,3,3,4,3,2,2,11,2,1,1,3,2
17,4,3,0,2,0,3,5,2,0,3,4,0,4,2,4,0,3,0,3,3,4,4,2,4,4,17,4,0,3,6,2,3,2,2,3,3,2,2,4,2,2,1,34,1,3,4,3,3,2,2
18,3,2,0,3,0,3,4,3,0,3,3,0,3,3,3,0,5,0,3,3,3,3,2,8,3,3,2,0,2,4,3,2,3,2,3,4,3,4,3,2,2,2,3,3,3,2,1,1,2,2
19,2,3,0,2,0,3,2,3,0,3,3,0,4,3,2,0,4,0,4,3,3,4,3,3,5,4,5,0,3,2,4,3,2,4,3,3,2,3,3,4,3,2,3,2,3,4,2,2,2,2
20,3,3,0,3,0,3,3,2,0,2,2,0,3,3,2,0,2,0,3,3,3,4,2,2,4,3,4,0,3,3,3,3,2,2,3,3,3,5,2,2,2,2,2,2,3,9,3,3,2,2
21,3,3,0,6,0,4,3,3,0,7,4,0,3,3,4,0,3,0,3,2,3,3,3,2,18,3,3,0,4,2,2,3,3,4,3,2,5,2,3,4,2,2,2,2,3,2,9,8,1,2
22,3,3,0,2,0,3,3,3,0,4,3,0,3,2,3,0,4,0,3,3,3,3,4,3,3,3,4,0,3,2,2,3,1,2,2,4,2,4,3,2,2,2,2,2,7,2,2,2,1,3
23,2,2,0,3,0,4,3,4,0,3,3,0,3,8,3,0,3,0,3,1,4,3,2,3,5,2,3,0,3,3,4,1,3,3,3,3,4,2,2,3,2,2,2,1,4,2,2,2,2,2
24,3,2,0,4,0,3,4,3,0,3,3,0,2,3,3,0,2,0,3,3,3,7,5,1,4,2,2,0,3,3,3,3,3,3,4,5,2,3,2,1,2,1,1,2,3,3,9,15,2,2
25,3,3,0,2,0,3,3,3,0,2,3,0,4,3,3,0,4,0,3,3,2,3,5,12,2,3,4,0,3,3,3,3,4,3,3,2,4,2,4,2,1,3,2,22,3,2,2,2,1,1
26,3,2,0,3,0,3,3,3,0,2,3,0,3,2,3,0,2,0,2,4,3,2,17,4,5,4,2,0,3,2,4,4,3,3,4,4,2,2,2,2,2,1,2,5,3,1,5,2,2,2
27,2,3,0,3,0,4,3,3,0,2,3,0,3,3,2,0,3,0,3,5,3,2,3,2,4,3,3,0,3,3,4,4,2,3,3,2,2,2,4,2,2,2,3,2,5,2,2,2,2,2
28,3,2,0,4,0,3,3,3,0,3,3,0,4,2,3,0,2,0,3,3,3,4,5,4,3,2,3,0,3,3,3,5,3,3,4,3,3,2,2,2,4,3,2,2,10,2,2,2,2,1
29,2,2,0,3,0,5,2,3,0,4,3,0,3,3,3,0,3,0,3,3,4,2,2,2,2,3,5,0,3,4,3,3,3,2,4,2,2,2,2,2,2,8,1,2,4,2,2,2,2,2
30,5,3,0,3,0,7,3,3,0,3,4,0,3,2,4,0,3,0,5,3,3,3,3,4,2,2,3,0,2,3,3,3,2,2,3,2,4,1,3,2,3,2,2,2,10,2,2,2,3,2
31,3,3,0,2,0,3,3,4,0,3,2,0,3,5,3,0,2,0,3,5,4,3,3,4,3,5,3,0,3,2,3,3,4,4,2,4,2,2,3,1,9,2,2,4,1,3,4,2,2,2
32,5,3,0,4,0,3,2,3,0,4,2,0,3,3,4,0,4,0,4,3,3,2,3,3,3,4,4,0,3,3,3,3,3,3,4,2,3,3,2,3,2,24,2,2,4,2,2,2,2,2
